Base	Type	Characteristic 1	Characteristic 2
AR	Stationary	Trend: Linear	
AR	Stationary	Trend: Linear	Seasonality: Single Seasonality
AR	Stationary	Trend: Linear	Seasonality: Multiple Seasonality
AR	Stationary	Trend: Linear	Anomaly: Point
AR	Stationary	Trend: Linear	Anomaly: Collective
AR	Stationary	Trend: Linear	Break: Mean Shift
AR	Stationary	Trend: Linear	Break: Variance Shift
AR	Stationary	Trend: Linear	Break: Trend Shift
AR	Stationary	Trend: Quadratic	
AR	Stationary	Trend: Quadratic	Seasonality: Single Seasonality
AR	Stationary	Trend: Quadratic	Seasonality: Multiple Seasonality
AR	Stationary	Trend: Quadratic	Anomaly: Point
AR	Stationary	Trend: Quadratic	Anomaly: Collective
AR	Stationary	Trend: Quadratic	Break: Mean Shift
AR	Stationary	Trend: Quadratic	Break: Variance Shift
AR	Stationary	Trend: Quadratic	Break: Trend Shift
AR	Stationary	Trend: Cubic	
AR	Stationary	Trend: Cubic	Seasonality: Single Seasonality
AR	Stationary	Trend: Cubic	Seasonality: Multiple Seasonality
AR	Stationary	Trend: Cubic	Anomaly: Point
AR	Stationary	Trend: Cubic	Anomaly: Collective
AR	Stationary	Trend: Cubic	Break: Mean Shift
AR	Stationary	Trend: Cubic	Break: Variance Shift
AR	Stationary	Trend: Cubic	Break: Trend Shift
AR	Stationary	Trend: Exponential	
AR	Stationary	Trend: Exponential	Seasonality: Single Seasonality
AR	Stationary	Trend: Exponential	Seasonality: Multiple Seasonality
AR	Stationary	Trend: Exponential	Anomaly: Point
AR	Stationary	Trend: Exponential	Anomaly: Collective
AR	Stationary	Trend: Exponential	Break: Mean Shift
AR	Stationary	Trend: Exponential	Break: Variance Shift
AR	Stationary	Trend: Exponential	Break: Trend Shift
AR	Stationary	Seasonality: Single Seasonality	
AR	Stationary	Seasonality: Single Seasonality	Trend: Linear
AR	Stationary	Seasonality: Single Seasonality	Trend: Quadratic
AR	Stationary	Seasonality: Single Seasonality	Trend: Cubic
AR	Stationary	Seasonality: Single Seasonality	Trend: Exponential
AR	Stationary	Seasonality: Single Seasonality	Anomaly: Point
AR	Stationary	Seasonality: Single Seasonality	Anomaly: Collective
AR	Stationary	Seasonality: Single Seasonality	Anomaly: Contextual
AR	Stationary	Seasonality: Single Seasonality	Break: Mean Shift
AR	Stationary	Seasonality: Single Seasonality	Break: Variance Shift
AR	Stationary	Seasonality: Single Seasonality	Break: Trend Shift
AR	Stationary	Seasonality: Multiple Seasonality	
AR	Stationary	Seasonality: Multiple Seasonality	Trend: Linear
AR	Stationary	Seasonality: Multiple Seasonality	Trend: Quadratic
AR	Stationary	Seasonality: Multiple Seasonality	Trend: Cubic
AR	Stationary	Seasonality: Multiple Seasonality	Trend: Exponential
AR	Stationary	Seasonality: Multiple Seasonality	Anomaly: Point
AR	Stationary	Seasonality: Multiple Seasonality	Anomaly: Collective
AR	Stationary	Seasonality: Multiple Seasonality	Anomaly: Contextual
AR	Stationary	Seasonality: Multiple Seasonality	Break: Mean Shift
AR	Stationary	Seasonality: Multiple Seasonality	Break: Variance Shift
AR	Stationary	Seasonality: Multiple Seasonality	Break: Trend Shift
AR	Stationary	Anomaly: Point	
AR	Stationary	Anomaly: Point	Trend: Linear
AR	Stationary	Anomaly: Point	Trend: Quadratic
AR	Stationary	Anomaly: Point	Trend: Cubic
AR	Stationary	Anomaly: Point	Trend: Exponential
AR	Stationary	Anomaly: Point	Seasonality: Single Seasonality
AR	Stationary	Anomaly: Point	Seasonality: Multiple Seasonality
AR	Stationary	Anomaly: Point	Break: Mean Shift
AR	Stationary	Anomaly: Point	Break: Variance Shift
AR	Stationary	Anomaly: Point	Break: Trend Shift
AR	Stationary	Anomaly: Collective	
AR	Stationary	Anomaly: Collective	Trend: Linear
AR	Stationary	Anomaly: Collective	Trend: Quadratic
AR	Stationary	Anomaly: Collective	Trend: Cubic
AR	Stationary	Anomaly: Collective	Trend: Exponential
AR	Stationary	Anomaly: Collective	Seasonality: Single Seasonality
AR	Stationary	Anomaly: Collective	Seasonality: Multiple Seasonality
AR	Stationary	Anomaly: Collective	Break: Mean Shift
AR	Stationary	Anomaly: Collective	Break: Variance Shift
AR	Stationary	Anomaly: Collective	Break: Trend Shift
AR	Stationary	Anomaly: Contextual	
AR	Stationary	Anomaly: Contextual	Seasonality: Single Seasonality
AR	Stationary	Anomaly: Contextual	Seasonality: Multiple Seasonality
AR	Stationary	Break: Mean Shift	
AR	Stationary	Break: Mean Shift	Trend: Linear
AR	Stationary	Break: Mean Shift	Trend: Quadratic
AR	Stationary	Break: Mean Shift	Trend: Cubic
AR	Stationary	Break: Mean Shift	Trend: Exponential
AR	Stationary	Break: Mean Shift	Seasonality: Single Seasonality
AR	Stationary	Break: Mean Shift	Seasonality: Multiple Seasonality
AR	Stationary	Break: Mean Shift	Anomaly: Point
AR	Stationary	Break: Mean Shift	Anomaly: Collective
AR	Stationary	Break: Variance Shift	
AR	Stationary	Break: Variance Shift	Trend: Linear
AR	Stationary	Break: Variance Shift	Trend: Quadratic
AR	Stationary	Break: Variance Shift	Trend: Cubic
AR	Stationary	Break: Variance Shift	Trend: Exponential
AR	Stationary	Break: Variance Shift	Seasonality: Single Seasonality
AR	Stationary	Break: Variance Shift	Seasonality: Multiple Seasonality
AR	Stationary	Break: Variance Shift	Anomaly: Point
AR	Stationary	Break: Variance Shift	Anomaly: Collective
AR	Stationary	Break: Trend Shift	
AR	Stationary	Break: Trend Shift	Trend: Linear
AR	Stationary	Break: Trend Shift	Trend: Quadratic
AR	Stationary	Break: Trend Shift	Trend: Cubic
AR	Stationary	Break: Trend Shift	Trend: Exponential
AR	Stationary	Break: Trend Shift	Seasonality: Single Seasonality
AR	Stationary	Break: Trend Shift	Seasonality: Multiple Seasonality
AR	Stationary	Break: Trend Shift	Anomaly: Point
AR	Stationary	Break: Trend Shift	Anomaly: Collective
MA	Stationary	Trend: Linear	
MA	Stationary	Trend: Linear	Seasonality: Single Seasonality
MA	Stationary	Trend: Linear	Seasonality: Multiple Seasonality
MA	Stationary	Trend: Linear	Anomaly: Point
MA	Stationary	Trend: Linear	Anomaly: Collective
MA	Stationary	Trend: Linear	Break: Mean Shift
MA	Stationary	Trend: Linear	Break: Variance Shift
MA	Stationary	Trend: Linear	Break: Trend Shift
MA	Stationary	Trend: Quadratic	
MA	Stationary	Trend: Quadratic	Seasonality: Single Seasonality
MA	Stationary	Trend: Quadratic	Seasonality: Multiple Seasonality
MA	Stationary	Trend: Quadratic	Anomaly: Point
MA	Stationary	Trend: Quadratic	Anomaly: Collective
MA	Stationary	Trend: Quadratic	Break: Mean Shift
MA	Stationary	Trend: Quadratic	Break: Variance Shift
MA	Stationary	Trend: Quadratic	Break: Trend Shift
MA	Stationary	Trend: Cubic	
MA	Stationary	Trend: Cubic	Seasonality: Single Seasonality
MA	Stationary	Trend: Cubic	Seasonality: Multiple Seasonality
MA	Stationary	Trend: Cubic	Anomaly: Point
MA	Stationary	Trend: Cubic	Anomaly: Collective
MA	Stationary	Trend: Cubic	Break: Mean Shift
MA	Stationary	Trend: Cubic	Break: Variance Shift
MA	Stationary	Trend: Cubic	Break: Trend Shift
MA	Stationary	Trend: Exponential	
MA	Stationary	Trend: Exponential	Seasonality: Single Seasonality
MA	Stationary	Trend: Exponential	Seasonality: Multiple Seasonality
MA	Stationary	Trend: Exponential	Anomaly: Point
MA	Stationary	Trend: Exponential	Anomaly: Collective
MA	Stationary	Trend: Exponential	Break: Mean Shift
MA	Stationary	Trend: Exponential	Break: Variance Shift
MA	Stationary	Trend: Exponential	Break: Trend Shift
MA	Stationary	Seasonality: Single Seasonality	
MA	Stationary	Seasonality: Single Seasonality	Trend: Linear
MA	Stationary	Seasonality: Single Seasonality	Trend: Quadratic
MA	Stationary	Seasonality: Single Seasonality	Trend: Cubic
MA	Stationary	Seasonality: Single Seasonality	Trend: Exponential
MA	Stationary	Seasonality: Single Seasonality	Anomaly: Point
MA	Stationary	Seasonality: Single Seasonality	Anomaly: Collective
MA	Stationary	Seasonality: Single Seasonality	Anomaly: Contextual
MA	Stationary	Seasonality: Single Seasonality	Break: Mean Shift
MA	Stationary	Seasonality: Single Seasonality	Break: Variance Shift
MA	Stationary	Seasonality: Single Seasonality	Break: Trend Shift
MA	Stationary	Seasonality: Multiple Seasonality	
MA	Stationary	Seasonality: Multiple Seasonality	Trend: Linear
MA	Stationary	Seasonality: Multiple Seasonality	Trend: Quadratic
MA	Stationary	Seasonality: Multiple Seasonality	Trend: Cubic
MA	Stationary	Seasonality: Multiple Seasonality	Trend: Exponential
MA	Stationary	Seasonality: Multiple Seasonality	Anomaly: Point
MA	Stationary	Seasonality: Multiple Seasonality	Anomaly: Collective
MA	Stationary	Seasonality: Multiple Seasonality	Anomaly: Contextual
MA	Stationary	Seasonality: Multiple Seasonality	Break: Mean Shift
MA	Stationary	Seasonality: Multiple Seasonality	Break: Variance Shift
MA	Stationary	Seasonality: Multiple Seasonality	Break: Trend Shift
MA	Stationary	Anomaly: Point	
MA	Stationary	Anomaly: Point	Trend: Linear
MA	Stationary	Anomaly: Point	Trend: Quadratic
MA	Stationary	Anomaly: Point	Trend: Cubic
MA	Stationary	Anomaly: Point	Trend: Exponential
MA	Stationary	Anomaly: Point	Seasonality: Single Seasonality
MA	Stationary	Anomaly: Point	Seasonality: Multiple Seasonality
MA	Stationary	Anomaly: Point	Break: Mean Shift
MA	Stationary	Anomaly: Point	Break: Variance Shift
MA	Stationary	Anomaly: Point	Break: Trend Shift
MA	Stationary	Anomaly: Collective	
MA	Stationary	Anomaly: Collective	Trend: Linear
MA	Stationary	Anomaly: Collective	Trend: Quadratic
MA	Stationary	Anomaly: Collective	Trend: Cubic
MA	Stationary	Anomaly: Collective	Trend: Exponential
MA	Stationary	Anomaly: Collective	Seasonality: Single Seasonality
MA	Stationary	Anomaly: Collective	Seasonality: Multiple Seasonality
MA	Stationary	Anomaly: Collective	Break: Mean Shift
MA	Stationary	Anomaly: Collective	Break: Variance Shift
MA	Stationary	Anomaly: Collective	Break: Trend Shift
MA	Stationary	Anomaly: Contextual	
MA	Stationary	Anomaly: Contextual	Seasonality: Single Seasonality
MA	Stationary	Anomaly: Contextual	Seasonality: Multiple Seasonality
MA	Stationary	Break: Mean Shift	
MA	Stationary	Break: Mean Shift	Trend: Linear
MA	Stationary	Break: Mean Shift	Trend: Quadratic
MA	Stationary	Break: Mean Shift	Trend: Cubic
MA	Stationary	Break: Mean Shift	Trend: Exponential
MA	Stationary	Break: Mean Shift	Seasonality: Single Seasonality
MA	Stationary	Break: Mean Shift	Seasonality: Multiple Seasonality
MA	Stationary	Break: Mean Shift	Anomaly: Point
MA	Stationary	Break: Mean Shift	Anomaly: Collective
MA	Stationary	Break: Variance Shift	
MA	Stationary	Break: Variance Shift	Trend: Linear
MA	Stationary	Break: Variance Shift	Trend: Quadratic
MA	Stationary	Break: Variance Shift	Trend: Cubic
MA	Stationary	Break: Variance Shift	Trend: Exponential
MA	Stationary	Break: Variance Shift	Seasonality: Single Seasonality
MA	Stationary	Break: Variance Shift	Seasonality: Multiple Seasonality
MA	Stationary	Break: Variance Shift	Anomaly: Point
MA	Stationary	Break: Variance Shift	Anomaly: Collective
MA	Stationary	Break: Trend Shift	
MA	Stationary	Break: Trend Shift	Trend: Linear
MA	Stationary	Break: Trend Shift	Trend: Quadratic
MA	Stationary	Break: Trend Shift	Trend: Cubic
MA	Stationary	Break: Trend Shift	Trend: Exponential
MA	Stationary	Break: Trend Shift	Seasonality: Single Seasonality
MA	Stationary	Break: Trend Shift	Seasonality: Multiple Seasonality
MA	Stationary	Break: Trend Shift	Anomaly: Point
MA	Stationary	Break: Trend Shift	Anomaly: Collective
ARMA	Stationary	Trend: Linear	
ARMA	Stationary	Trend: Linear	Seasonality: Single Seasonality
ARMA	Stationary	Trend: Linear	Seasonality: Multiple Seasonality
ARMA	Stationary	Trend: Linear	Anomaly: Point
ARMA	Stationary	Trend: Linear	Anomaly: Collective
ARMA	Stationary	Trend: Linear	Break: Mean Shift
ARMA	Stationary	Trend: Linear	Break: Variance Shift
ARMA	Stationary	Trend: Linear	Break: Trend Shift
ARMA	Stationary	Trend: Quadratic	
ARMA	Stationary	Trend: Quadratic	Seasonality: Single Seasonality
ARMA	Stationary	Trend: Quadratic	Seasonality: Multiple Seasonality
ARMA	Stationary	Trend: Quadratic	Anomaly: Point
ARMA	Stationary	Trend: Quadratic	Anomaly: Collective
ARMA	Stationary	Trend: Quadratic	Break: Mean Shift
ARMA	Stationary	Trend: Quadratic	Break: Variance Shift
ARMA	Stationary	Trend: Quadratic	Break: Trend Shift
ARMA	Stationary	Trend: Cubic	
ARMA	Stationary	Trend: Cubic	Seasonality: Single Seasonality
ARMA	Stationary	Trend: Cubic	Seasonality: Multiple Seasonality
ARMA	Stationary	Trend: Cubic	Anomaly: Point
ARMA	Stationary	Trend: Cubic	Anomaly: Collective
ARMA	Stationary	Trend: Cubic	Break: Mean Shift
ARMA	Stationary	Trend: Cubic	Break: Variance Shift
ARMA	Stationary	Trend: Cubic	Break: Trend Shift
ARMA	Stationary	Trend: Exponential	
ARMA	Stationary	Trend: Exponential	Seasonality: Single Seasonality
ARMA	Stationary	Trend: Exponential	Seasonality: Multiple Seasonality
ARMA	Stationary	Trend: Exponential	Anomaly: Point
ARMA	Stationary	Trend: Exponential	Anomaly: Collective
ARMA	Stationary	Trend: Exponential	Break: Mean Shift
ARMA	Stationary	Trend: Exponential	Break: Variance Shift
ARMA	Stationary	Trend: Exponential	Break: Trend Shift
ARMA	Stationary	Seasonality: Single Seasonality	
ARMA	Stationary	Seasonality: Single Seasonality	Trend: Linear
ARMA	Stationary	Seasonality: Single Seasonality	Trend: Quadratic
ARMA	Stationary	Seasonality: Single Seasonality	Trend: Cubic
ARMA	Stationary	Seasonality: Single Seasonality	Trend: Exponential
ARMA	Stationary	Seasonality: Single Seasonality	Anomaly: Point
ARMA	Stationary	Seasonality: Single Seasonality	Anomaly: Collective
ARMA	Stationary	Seasonality: Single Seasonality	Anomaly: Contextual
ARMA	Stationary	Seasonality: Single Seasonality	Break: Mean Shift
ARMA	Stationary	Seasonality: Single Seasonality	Break: Variance Shift
ARMA	Stationary	Seasonality: Single Seasonality	Break: Trend Shift
ARMA	Stationary	Seasonality: Multiple Seasonality	
ARMA	Stationary	Seasonality: Multiple Seasonality	Trend: Linear
ARMA	Stationary	Seasonality: Multiple Seasonality	Trend: Quadratic
ARMA	Stationary	Seasonality: Multiple Seasonality	Trend: Cubic
ARMA	Stationary	Seasonality: Multiple Seasonality	Trend: Exponential
ARMA	Stationary	Seasonality: Multiple Seasonality	Anomaly: Point
ARMA	Stationary	Seasonality: Multiple Seasonality	Anomaly: Collective
ARMA	Stationary	Seasonality: Multiple Seasonality	Anomaly: Contextual
ARMA	Stationary	Seasonality: Multiple Seasonality	Break: Mean Shift
ARMA	Stationary	Seasonality: Multiple Seasonality	Break: Variance Shift
ARMA	Stationary	Seasonality: Multiple Seasonality	Break: Trend Shift
ARMA	Stationary	Anomaly: Point	
ARMA	Stationary	Anomaly: Point	Trend: Linear
ARMA	Stationary	Anomaly: Point	Trend: Quadratic
ARMA	Stationary	Anomaly: Point	Trend: Cubic
ARMA	Stationary	Anomaly: Point	Trend: Exponential
ARMA	Stationary	Anomaly: Point	Seasonality: Single Seasonality
ARMA	Stationary	Anomaly: Point	Seasonality: Multiple Seasonality
ARMA	Stationary	Anomaly: Point	Break: Mean Shift
ARMA	Stationary	Anomaly: Point	Break: Variance Shift
ARMA	Stationary	Anomaly: Point	Break: Trend Shift
ARMA	Stationary	Anomaly: Collective	
ARMA	Stationary	Anomaly: Collective	Trend: Linear
ARMA	Stationary	Anomaly: Collective	Trend: Quadratic
ARMA	Stationary	Anomaly: Collective	Trend: Cubic
ARMA	Stationary	Anomaly: Collective	Trend: Exponential
ARMA	Stationary	Anomaly: Collective	Seasonality: Single Seasonality
ARMA	Stationary	Anomaly: Collective	Seasonality: Multiple Seasonality
ARMA	Stationary	Anomaly: Collective	Break: Mean Shift
ARMA	Stationary	Anomaly: Collective	Break: Variance Shift
ARMA	Stationary	Anomaly: Collective	Break: Trend Shift
ARMA	Stationary	Anomaly: Contextual	
ARMA	Stationary	Anomaly: Contextual	Seasonality: Single Seasonality
ARMA	Stationary	Anomaly: Contextual	Seasonality: Multiple Seasonality
ARMA	Stationary	Break: Mean Shift	
